title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Four Rooms",movie,Comedy,1995,tt0113101,6.7,113403,
"Forrest Gump",movie,"Drama, Romance",1994,tt0109830,8.8,2348885,
"American Beauty",movie,Drama,1999,tt0169547,8.3,1238903,
"Citizen Kane",movie,"Drama, Mystery",1941,tt0033467,8.3,477481,
Metropolis,movie,"Drama, Sci-Fi",1927,tt0017136,8.3,192285,
"Kill Bill: Vol. 1",movie,"Action, Crime, Thriller",2003,tt0266697,8.2,1236086,
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,448833,
"Eternal Sunshine of the Spotless Mind",movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1122196,
"Amores Perros",movie,"Drama, Thriller",2000,tt0245712,8,258747,
"12 Monkeys",movie,"Mystery, Sci-Fi, Thriller",1995,tt0114746,8,660153,
"Talk to Her",movie,"Drama, Mystery, Romance",2002,tt0287467,7.9,119454,
"Million Dollar Baby",movie,"Drama, Sport",2004,tt0405159,8.1,740075,
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,146953,
"War of the Worlds",movie,"Action, Adventure, Sci-Fi",2005,tt0407304,6.5,486476,
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1364144,
"Miami Vice",movie,"Action, Crime, Drama",2006,tt0430357,6.1,126611,
"Open Water",movie,"Adventure, Drama, Horror",2003,tt0374102,5.8,57622,
"Raiders of the Lost Ark",movie,"Action, Adventure",1981,tt0082971,8.4,1064996,
"Indiana Jones and the Temple of Doom",movie,"Action, Adventure",1984,tt0087469,7.5,548099,
"Dirty Dancing",movie,"Drama, Music, Romance",1987,tt0092890,7.1,266381,
"Indiana Jones and the Last Crusade",movie,"Action, Adventure",1989,tt0097576,8.2,831695,
"Beverly Hills Cop",movie,"Action, Comedy, Crime",1984,tt0086960,7.4,221895,
Armageddon,movie,"Action, Adventure, Sci-Fi",1998,tt0120591,6.7,462259,
"Beverly Hills Cop II",movie,"Action, Comedy, Crime",1987,tt0092644,6.6,142326,
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1729925,
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,105775,
"Lock, Stock and Two Smoking Barrels",movie,"Comedy, Crime",1998,tt0120735,8.1,630583,
"Léon: The Professional",movie,"Action, Crime, Drama",1994,tt0110413,8.5,1289448,
"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,964527,
"Run Lola Run",movie,"Action, Crime, Thriller",1998,tt0130827,7.6,212100,
"Back to the Future",movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1359951,
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,936677,
"Three Colors: Blue",movie,"Drama, Music, Mystery",1993,tt0108394,7.8,114002,
"Three Colors: White",movie,"Comedy, Drama, Romance",1994,tt0111507,7.6,82136,
"Three Colors: Red",movie,"Drama, Mystery, Romance",1994,tt0111495,8.1,112895,
Scarface,movie,"Crime, Drama",1983,tt0086250,8.3,951663,
"Italian for Beginners",movie,"Comedy, Drama, Romance",2000,tt0243862,7,14116,
"The Big Lebowski",movie,"Comedy, Crime",1998,tt0118715,8.1,882605,
"The Untouchables",movie,"Crime, Drama, Thriller",1987,tt0094226,7.8,340032,
"O Brother, Where Art Thou?",movie,"Comedy, Crime, Drama",2000,tt0190590,7.7,339011,
"Groundhog Day",movie,"Comedy, Drama, Fantasy",1993,tt0107048,8,708310,
"Bad Education",movie,"Crime, Drama",2004,tt0275491,7.4,64613,
"Donnie Darko",movie,"Drama, Mystery, Sci-Fi",2001,tt0246578,8,874176,
"Brokeback Mountain",movie,"Drama, Romance",2005,tt0388795,7.7,397204,
"Wings of Desire",movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,80079,
"Crouching Tiger, Hidden Dragon",movie,"Action, Adventure, Drama",2000,tt0190332,7.9,286455,
"The 400 Blows",movie,"Crime, Drama",1959,tt0053198,8,130652,
"48 Hrs.",movie,"Action, Comedy, Crime",1982,tt0083511,6.9,88476,
"Star Trek: The Motion Picture",movie,"Adventure, Mystery, Sci-Fi",1979,tt0079945,6.4,98921,
"Lost in Translation",movie,"Comedy, Drama",2003,tt0335266,7.7,506644,
"Star Trek II: The Wrath of Khan",movie,"Action, Adventure, Sci-Fi",1982,tt0084726,7.7,131843,
"Star Trek III: The Search for Spock",movie,"Action, Adventure, Sci-Fi",1984,tt0088170,6.6,87980,
"Breakfast at Tiffany's",movie,"Comedy, Drama, Romance",1961,tt0054698,7.6,197179,
"Back to the Future Part II",movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,591677,
"Star Trek IV: The Voyage Home",movie,"Adventure, Comedy, Sci-Fi",1986,tt0092007,7.3,93483,
"Star Trek V: The Final Frontier",movie,"Action, Adventure, Fantasy",1989,tt0098382,5.5,65687,
"Star Trek VI: The Undiscovered Country",movie,"Action, Adventure, Sci-Fi",1991,tt0102975,7.2,82610,
"The Big Blue",movie,"Adventure, Drama, Sport",1988,tt0095250,7.5,56453,
Saw,movie,"Horror, Mystery, Thriller",2004,tt0387564,7.6,484707,
"Minority Report",movie,"Action, Crime, Mystery",2002,tt0181689,7.6,598053,
"Jackie Brown",movie,"Crime, Drama, Thriller",1997,tt0119396,7.5,386438,
"Sin City",movie,"Crime, Thriller",2005,tt0401792,8,803827,
"Sin City: A Dame to Kill For",movie,"Action, Crime, Thriller",2014,tt0458481,6.5,173662,
"Star Trek: Generations",movie,"Action, Adventure, Mystery",1994,tt0111280,6.6,88706,
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,812465,
"Back to the Future Part III",movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.5,495673,
Braveheart,movie,"Biography, Drama, War",1995,tt0112573,8.3,1120213,
"Star Trek: First Contact",movie,"Action, Adventure, Drama",1996,tt0117731,7.6,134344,
"Star Trek: Insurrection",movie,"Action, Adventure, Sci-Fi",1998,tt0120844,6.4,80910,
"Star Trek: Nemesis",movie,"Action, Adventure, Sci-Fi",2002,tt0253754,6.4,85462,
"Mean Streets",movie,"Crime, Drama, Thriller",1973,tt0070379,7.2,123116,
"The Wages of Fear",movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,69327,
"North by Northwest",movie,"Adventure, Drama, Mystery",1959,tt0053125,8.3,357707,
"Saw III",movie,"Horror, Mystery, Thriller",2006,tt0489270,6.2,219327,
"Saw II",movie,"Horror, Mystery",2005,tt0432348,6.6,285444,
"Ali: Fear Eats the Soul",movie,"Drama, Romance",1974,tt0071141,8,24764,
"Indiana Jones and the Kingdom of the Crystal Skull",movie,"Action, Adventure",2008,tt0367882,6.2,500328,
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,109542,
"The Outsiders",movie,"Crime, Drama",1983,tt0086066,7,102782,
"Muriel's Wedding",movie,"Comedy, Drama",1994,tt0110598,7.2,43311,
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2095476,
"Some Like It Hot",movie,"Comedy, Music, Romance",1959,tt0053291,8.2,291909,
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1412423,
"Natural Born Killers",movie,"Crime, Romance",1994,tt0110632,7.2,258163,
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,435666,
"King Kong",movie,"Adventure, Horror",1933,tt0024216,7.9,93077,
"About a Boy",movie,"Comedy, Drama, Romance",2002,tt0276751,7.1,195116,
"In China They Eat Dogs",movie,"Action, Comedy, Crime",1999,tt0180748,7.3,23567,
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,245324,
"King Kong",movie,"Action, Adventure, Romance",2005,tt0360717,7.2,456330,
