title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Ariel,movie,"Comedy, Crime, Romance",1988,tt0094675,7.4,9061,
"Shadows in Paradise",movie,"Comedy, Drama, Music",1986,tt0092149,7.4,7862,
"Forrest Gump",movie,"Drama, Romance",1994,tt0109830,8.8,2361972,
"The Fifth Element",movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,524186,
"My Life Without Me",movie,"Drama, Romance",2003,tt0314412,7.4,26183,
"Kill Bill: Vol. 1",movie,"Action, Crime, Thriller",2003,tt0266697,8.2,1242949,
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,451718,
"12 Monkeys",movie,"Mystery, Sci-Fi, Thriller",1995,tt0114746,8,661884,
"Walk the Line",movie,"Biography, Drama, Music",2005,tt0358273,7.8,273205,
"War of the Worlds",movie,"Action, Adventure, Sci-Fi",2005,tt0407304,6.5,488095,
"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,251132,
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1370637,
"Blade Runner",movie,"Action, Drama, Sci-Fi",1982,tt0083658,8.1,849863,
"Raiders of the Lost Ark",movie,"Action, Adventure",1981,tt0082971,8.4,1068654,
"Indiana Jones and the Temple of Doom",movie,"Action, Adventure",1984,tt0087469,7.5,549746,
"Indiana Jones and the Last Crusade",movie,"Action, Adventure",1989,tt0097576,8.2,834346,
Armageddon,movie,"Action, Adventure, Sci-Fi",1998,tt0120591,6.7,464006,
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,106153,
"Open Hearts",movie,"Drama, Romance",2002,tt0315543,7.5,11253,
Predator,movie,"Action, Adventure, Horror",1987,tt0093773,7.8,473944,
"Pretty Woman",movie,"Comedy, Romance",1990,tt0100405,7.1,383103,
"Match Point",movie,"Drama, Romance, Thriller",2005,tt0416320,7.6,233028,
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,548185,
"The Lord of the Rings: The Fellowship of the Ring",movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2093335,
"The Lord of the Rings: The Two Towers",movie,"Adventure, Drama, Fantasy",2002,tt0167261,8.8,1860459,
"The Lord of the Rings: The Return of the King",movie,"Adventure, Drama, Fantasy",2003,tt0167260,9,2064218,
"Donnie Darko",movie,"Drama, Mystery, Sci-Fi",2001,tt0246578,8,877760,
"Wings of Desire",movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,80437,
Akira,movie,"Animation, Drama, Fantasy",1988,tt0094625,8,214354,
"Lost in Translation",movie,"Comedy, Drama",2003,tt0335266,7.7,508493,
"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,2997710,
"Wilbur Wants to Kill Himself",movie,"Comedy, Drama, Romance",2002,tt0329767,6.8,8160,
"Ocean's Twelve",movie,"Crime, Thriller",2004,tt0349903,6.5,424845,
"Breakfast at Tiffany's",movie,"Comedy, Drama, Romance",1961,tt0054698,7.6,197841,
"Back to the Future Part II",movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,594495,
K-PAX,movie,"Drama, Mystery, Sci-Fi",2001,tt0272152,7.4,196761,
"Predator 2",movie,"Action, Horror, Sci-Fi",1990,tt0100403,6.3,190251,
"Sin City",movie,"Crime, Thriller",2005,tt0401792,8,805507,
"Sin City: A Dame to Kill For",movie,"Action, Crime, Thriller",2014,tt0458481,6.5,174131,
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,814990,
"Back to the Future Part III",movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.5,497807,
"The Wages of Fear",movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,69741,
"Indiana Jones and the Kingdom of the Crystal Skull",movie,"Action, Adventure",2008,tt0367882,6.2,501415,
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,109853,
Syriana,movie,"Drama, Thriller",2005,tt0365737,6.9,136177,
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2108618,
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1420057,
"Natural Born Killers",movie,"Crime, Romance",1994,tt0110632,7.2,259074,
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,437378,
"High Fidelity",movie,"Comedy, Drama, Music",2000,tt0146882,7.4,194227,
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,246636,
"The King of Comedy",movie,"Comedy, Crime, Drama",1982,tt0085794,7.8,125314,
Batman,movie,"Action, Adventure",1989,tt0096895,7.5,417838,
"Batman Begins",movie,"Action, Drama",2005,tt0372784,8.2,1636418,
"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,3021435,
Casablanca,movie,"Drama, Romance, War",1942,tt0034583,8.5,628018,
"Terminator 3: Rise of the Machines",movie,"Action, Sci-Fi",2003,tt0181852,6.3,426979,
"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,376101,
"Ocean's Eleven",movie,"Comedy, Crime, Music",1960,tt0054135,6.5,26100,
"Once Upon a Time in America",movie,"Crime, Drama",1984,tt0087843,8.3,392554,
Catwoman,movie,"Action, Crime, Fantasy",2004,tt0327554,3.4,128640,
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,501479,
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1110910,
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,350972,
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,396220,
Alien,movie,"Horror, Sci-Fi",1979,tt0078748,8.5,1009243,
"The Devil Wears Prada",movie,"Comedy, Drama",2006,tt0458352,6.9,495756,
"Batman Returns",movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,338584,
"Kill Bill: Vol. 2",movie,"Action, Crime, Thriller",2004,tt0378194,8,833600,
"Alien vs. Predator",movie,"Action, Adventure, Horror",2004,tt0370263,5.7,222452,
"Garden State",movie,"Comedy, Drama, Romance",2004,tt0333766,7.4,226054,
"La Strada",movie,Drama,1954,tt0047528,8,68087,
"Batman Forever",movie,"Action, Adventure",1995,tt0112462,5.4,273212,
"Batman & Robin",movie,"Action, Sci-Fi",1997,tt0118688,3.8,274649,
8½,movie,Drama,1963,tt0056801,8,128715,
"Aliens vs. Predator: Requiem",movie,"Action, Horror, Sci-Fi",2007,tt0758730,4.6,140037,
"Romeo + Juliet",movie,"Drama, Romance",1996,tt0117509,6.7,251056,
"Bend It Like Beckham",movie,"Comedy, Drama, Romance",2002,tt0286499,6.7,119048,
"My Own Private Idaho",movie,Drama,1991,tt0102494,6.9,64206,
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1128060,
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,206857,
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,112705,
Monster,movie,"Biography, Crime, Drama",2003,tt0340855,7.3,167121,
"Fight Club",movie,Drama,1999,tt0137523,8.8,2443570,
