Service_Name,Date,Price
AppleTV,Nov-19,4.99
AppleTV,Dec-19,4.99
AppleTV,Jan-20,4.99
AppleTV,Feb-20,4.99
AppleTV,Mar-20,4.99
AppleTV,Apr-20,4.99
AppleTV,May-20,4.99
AppleTV,Jun-20,4.99
AppleTV,Jul-20,4.99
AppleTV,Aug-20,4.99
AppleTV,Sep-20,4.99
AppleTV,Oct-20,4.99
AppleTV,Nov-20,4.99
AppleTV,Dec-20,4.99
AppleTV,Jan-21,4.99
AppleTV,Feb-21,4.99
AppleTV,Mar-21,4.99
AppleTV,Apr-21,4.99
AppleTV,May-21,4.99
AppleTV,Jun-21,4.99
AppleTV,Jul-21,4.99
AppleTV,Aug-21,4.99
AppleTV,Sep-21,4.99
AppleTV,Oct-21,4.99
AppleTV,Nov-21,4.99
AppleTV,Dec-21,4.99
AppleTV,Jan-22,4.99
AppleTV,Feb-22,4.99
AppleTV,Mar-22,4.99
AppleTV,Apr-22,4.99
AppleTV,May-22,4.99
AppleTV,Jun-22,4.99
AppleTV,Jul-22,4.99
AppleTV,Aug-22,4.99
AppleTV,Sep-22,4.99
AppleTV,Oct-22,6.99
AppleTV,Nov-22,6.99
AppleTV,Dec-22,6.99
AppleTV,Jan-23,6.99
AppleTV,Feb-23,6.99
AppleTV,Mar-23,6.99
AppleTV,Apr-23,6.99
AppleTV,May-23,6.99
AppleTV,Jun-23,6.99
AppleTV,Jul-23,6.99
AppleTV,Aug-23,6.99
AppleTV,Sep-23,6.99
AppleTV,Oct-23,9.99
AppleTV,Nov-23,9.99
AppleTV,Dec-23,9.99
AppleTV,Jan-24,9.99
AppleTV,Feb-24,9.99
AppleTV,Mar-24,9.99
AppleTV,Apr-24,9.99
AppleTV,May-24,9.99
AppleTV,Jun-24,9.99
AppleTV,Jul-24,9.99
AppleTV,Aug-24,9.99
AppleTV,Sep-24,9.99
AppleTV,Oct-24,9.99
AppleTV,Nov-24,9.99
AppleTV,Dec-24,9.99
AppleTV,Jan-25,9.99
AppleTV,Feb-25,9.99
Hulu,Nov-19,5.99
Hulu,Dec-19,5.99
Hulu,Jan-20,5.99
Hulu,Feb-20,5.99
Hulu,Mar-20,5.99
Hulu,Apr-20,5.99
Hulu,May-20,5.99
Hulu,Jun-20,5.99
Hulu,Jul-20,5.99
Hulu,Aug-20,5.99
Hulu,Sep-20,5.99
Hulu,Oct-20,5.99
Hulu,Nov-20,5.99
Hulu,Dec-20,5.99
Hulu,Jan-21,5.99
Hulu,Feb-21,5.99
Hulu,Mar-21,5.99
Hulu,Apr-21,5.99
Hulu,May-21,5.99
Hulu,Jun-21,5.99
Hulu,Jul-21,5.99
Hulu,Aug-21,5.99
Hulu,Sep-21,5.99
Hulu,Oct-21,6.99
Hulu,Nov-21,6.99
Hulu,Dec-21,6.99
Hulu,Jan-22,6.99
Hulu,Feb-22,6.99
Hulu,Mar-22,6.99
Hulu,Apr-22,6.99
