title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Ariel,movie,"Comedy, Crime, Romance",1988,tt0094675,7.4,8864,JP
"Shadows in Paradise",movie,"Comedy, Drama, Music",1986,tt0092149,7.5,7642,JP
"Forrest Gump",movie,"Drama, Romance",1994,tt0109830,8.8,2336298,JP
"The Fifth Element",movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,519753,JP
"My Life Without Me",movie,"Drama, Romance",2003,tt0314412,7.4,26101,JP
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,447040,JP
"12 Monkeys",movie,"Mystery, Sci-Fi, Thriller",1995,tt0114746,8,658396,JP
"Million Dollar Baby",movie,"Drama, Sport",2004,tt0405159,8.1,737143,JP
"War of the Worlds",movie,"Action, Adventure, Sci-Fi",2005,tt0407304,6.5,485078,JP
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1357842,JP
"Blade Runner",movie,"Action, Drama, Sci-Fi",1982,tt0083658,8.1,843060,JP
"Raiders of the Lost Ark",movie,"Action, Adventure",1981,tt0082971,8.4,1061153,JP
"Indiana Jones and the Temple of Doom",movie,"Action, Adventure",1984,tt0087469,7.5,546259,JP
"Indiana Jones and the Last Crusade",movie,"Action, Adventure",1989,tt0097576,8.2,828812,JP
Armageddon,movie,"Action, Adventure, Sci-Fi",1998,tt0120591,6.7,460622,"JP, US"
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1712369,US
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,105366,JP
Predator,movie,"Action, Adventure, Horror",1987,tt0093773,7.8,469916,US
"Pretty Woman",movie,"Comedy, Romance",1990,tt0100405,7.1,377956,JP
"Match Point",movie,"Drama, Romance, Thriller",2005,tt0416320,7.6,231880,JP
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,544070,JP
"The Lord of the Rings: The Fellowship of the Ring",movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2072714,JP
"The Lord of the Rings: The Two Towers",movie,"Adventure, Drama, Fantasy",2002,tt0167261,8.8,1842515,JP
"The Lord of the Rings: The Return of the King",movie,"Adventure, Drama, Fantasy",2003,tt0167260,9,2043149,JP
"O Brother, Where Art Thou?",movie,"Comedy, Crime, Drama",2000,tt0190590,7.7,337960,US
"Donnie Darko",movie,"Drama, Mystery, Sci-Fi",2001,tt0246578,8,870816,US
"Wings of Desire",movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,79719,JP
Akira,movie,"Animation, Drama, Fantasy",1988,tt0094625,8,212099,JP
"Lost in Translation",movie,"Comedy, Drama",2003,tt0335266,7.7,504699,JP
"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,2965826,JP
"Edward Scissorhands",movie,"Drama, Fantasy, Romance",1990,tt0099487,7.9,540363,US
"Ocean's Twelve",movie,"Crime, Thriller",2004,tt0349903,6.5,422221,JP
"Breakfast at Tiffany's",movie,"Comedy, Drama, Romance",1961,tt0054698,7.6,196454,JP
"Back to the Future Part II",movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,589126,JP
K-PAX,movie,"Drama, Mystery, Sci-Fi",2001,tt0272152,7.4,195832,JP
"Predator 2",movie,"Action, Horror, Sci-Fi",1990,tt0100403,6.3,188845,US
Saw,movie,"Horror, Mystery, Thriller",2004,tt0387564,7.6,482788,JP
"Minority Report",movie,"Action, Crime, Mystery",2002,tt0181689,7.6,596145,JP
"Sin City",movie,"Crime, Thriller",2005,tt0401792,8,802270,JP
"Sin City: A Dame to Kill For",movie,"Action, Crime, Thriller",2014,tt0458481,6.5,173221,JP
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,810095,JP
"Back to the Future Part III",movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.4,493545,JP
"The Wages of Fear",movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,69050,JP
"Dead Poets Society",movie,"Comedy, Drama",1989,tt0097165,8.1,575437,US
"Indiana Jones and the Kingdom of the Crystal Skull",movie,"Action, Adventure",2008,tt0367882,6.2,498927,JP
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,109154,JP
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2083472,JP
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1405397,JP
"Natural Born Killers",movie,"Crime, Romance",1994,tt0110632,7.2,257332,JP
"High Fidelity",movie,"Comedy, Drama, Music",2000,tt0146882,7.4,193221,US
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,243401,JP
"Willy Wonka & the Chocolate Factory",movie,"Adventure, Comedy, Family",1971,tt0067992,7.8,234030,JP
Batman,movie,"Action, Adventure",1989,tt0096895,7.5,415181,JP
"Batman Begins",movie,"Action, Drama",2005,tt0372784,8.2,1621714,JP
"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,2985453,JP
"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,374054,JP
"Once Upon a Time in America",movie,"Crime, Drama",1984,tt0087843,8.3,388953,JP
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,497411,JP
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1099758,JP
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,348121,JP
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,390564,JP
Alien,movie,"Horror, Sci-Fi",1979,tt0078748,8.5,998001,US
"The Devil Wears Prada",movie,"Comedy, Drama",2006,tt0458352,6.9,489424,JP
"Batman Returns",movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,336406,JP
